schema,table,Level,main,definitions,dwc
main,platform,geographic,1,0,0
main,def_measurement_type,other,0,1,0
main,def_unit,other,0,1,0
main,def_var_samp_eff,event,0,1,0
main,def_var_ind_qt,registros,0,1,0
main,def_protocol,gp_event,0,1,0
main,institution,people,0,0,1
main,people,people,0,0,1
main,punto_referencia,site,1,0,0
main,gp_event,gp_event,1,0,0
main,def_gp_biol,gp_event,0,1,0
main,event,event,1,0,0
main,def_tax_rank,taxonomic,0,1,0
main,taxo,taxonomic,1,0,0
main,morfo_taxo,taxonomic,1,0,0
main,registros,registros,1,0,1
main,def_var_biometry,registros,0,1,1
main,def_organ,registros,0,1,1
main,biometry,registros,0,0,1
main,catalog,registros,0,0,1
main,def_multimedia_type,registros,0,1,1
main,multimedia,registros,0,0,1
main,def_var_ind_charac,registros,0,1,0
main,def_ind_charac_categ,registros,0,1,0
main,individual_characteristics,registros,0,0,0
main,individual_tag,registros,0,0,1
main,assign_individual_tag,registros,0,0,1
main,def_var_habitat,site,0,1,0
main,def_categ_habitat,site,0,1,0
main,habitat,site,0,0,0
main,def_var_event_extra,event,0,1,0
main,def_categ_event_extra,event,0,1,0
main,event_extra,event,0,0,0
main,def_var_registros_extra,registros,0,1,0
main,def_categ_registros_extra,registros,0,1,0
main,registros_extra,registros,0,0,0
main,phy_chi_peces,event,0,0,0
main,def_season,other,0,1,0
main,def_phy_chi_type,event,0,1,0
main,phy_chi_hidro_event,event,0,0,0
main,phy_chi_hidro_aguas,event,0,0,0
main,phy_chi_hidro_sedi,event,0,0,0
spat,def_landcov,geographic,0,1,0
spat,landcov,geographic,0,0,0
